,actor_id,type,public_repos,public_gists,followers,following
184,260465,User,55,386,119,0
185,264346,User,43,7,98,24
186,271576,User,38,3,76,55
187,273592,User,21,1,18,41
188,275848,User,45,25,82,33
189,275871,User,117,77,2342,31
190,278153,User,2145,33,299,1206
191,278340,User,42,22,84,19
192,278470,User,36,22,275,6
193,278509,User,93,90,552,0
194,281303,User,271,44,217,43
195,282159,User,38,12,53,96
196,283834,User,16,4,7,0
197,288203,User,28,2,22,5
198,289678,User,167,14,171,0
199,291359,User,272,16,335,0
200,292349,User,82,14,1920,58
201,298299,User,103,37,49,2
202,298705,User,61,7,67,42
203,299804,User,60,5,63,37
204,300115,User,7,9,29,0
205,308347,User,160,82,105,13
206,309017,User,121,2408,32,1
207,309583,User,43,2,114,7
208,313003,User,22,15,184,1
209,316242,User,95,4,4,0
210,321738,User,95,25,227,44
211,322311,User,541,7,719,2
212,323878,User,116,1,356,45
213,325476,User,209,40,230,60
214,326577,User,215,25,1092,48
215,329822,User,214,7,304,123
216,338792,User,19,0,26,3
217,339728,User,165,1,39,4
218,341954,User,132,91,107,24
219,344777,User,19,4,234,13
220,345332,User,36,4,86,53
221,354746,User,54,14,290,29
222,355313,User,13,0,29,2
223,359867,User,75,11,84,25
224,362783,User,17,14,142,110
225,363911,User,170,22,37,25
226,364566,User,102,10,117,24
227,372476,User,31,7,216,23
228,374864,User,78,9,119,18
229,375744,User,347,64,477,0
230,380816,User,110,7,68,8
231,381137,User,59,27,134,0
232,386765,User,63,8,96,11
233,387249,User,290,617,71,10
234,395821,User,136,15,67,4
235,400034,User,186,44,133,101
236,400092,User,186,103,55,5
237,402008,User,65,161,209,5
238,402156,User,30,1,97,1
239,402301,User,273,62,895,5
240,403174,User,115,1,21,0
241,409053,User,26,0,6,31
242,425260,User,245,44,268,41
243,434655,User,62,9,140,35
244,439401,User,634,41,2016,39
245,439929,User,209,10,1246,38
246,443137,User,151,32,34,10
247,446130,User,12,0,12,0
248,448216,User,40,7,33,4
249,451477,User,88,7,67,0
250,455023,User,364,117,9361,1
251,456802,User,63,8,143,10
252,458946,User,56,6,87,8
253,459691,User,201,111,92,9
254,461264,User,11,0,42,0
255,463851,User,50,1,22,27
256,467709,User,54,16,125,11
257,469983,User,359,29,444,39
258,478555,User,21,2,80,3
259,480437,User,121,68,147,23
260,483422,User,90,0,3,2
261,487925,User,11,1,20,39
262,489791,User,14,0,166,0
263,490484,User,193,51,1921,0
264,492656,User,3,3,2,11
265,493492,User,63,0,13,0
266,494208,User,54,68,137,7
267,495366,User,91,67,55,11
268,496447,User,113,17,162,20
269,499550,User,183,71,91465,93
270,502017,User,66,2,93,90
271,502810,User,11,0,107,5
272,504195,User,38,57,390,0
273,505001,User,141,20,312,19
274,505230,User,95,168,217,69
275,510598,User,4,1,6,1
276,512266,User,26,1,21,9
277,517124,User,69,5,190,85
278,518707,User,8,1,8,0
279,522079,User,20,0,332,41
280,524596,User,177,251,38,4
281,528166,User,4,1,0,0
282,533828,User,50,0,22,13
283,538415,User,162,17,98,12
284,538604,User,32,0,6,2
285,541490,User,19,4,2,0
286,541734,User,71,5,46,9
287,542836,User,34,0,28,13
288,548801,User,18,1,6,1
289,555095,User,47,0,27,8
290,555336,User,17,8,59,8
291,556258,User,5,2,6,4
292,558581,User,61,75,243,16
293,559317,User,64,7,15,0
294,578543,User,331,54,704,1591
295,580492,User,148,5,328,50
296,580733,User,8,13,8,5
297,580803,User,38,26,30,1
298,583075,User,42,10,1850,69
299,587583,User,12,1,4,10
300,588407,User,121,33,127,1
301,588688,User,103,215,526,287
302,590254,User,31,1,33,0
303,595301,User,4,0,13,6
304,596147,User,0,0,1,1
305,598796,User,128,35,639,36
306,605277,User,172,58,1039,4
307,611613,User,50,5,201,25
308,611653,User,107,1,85,275
309,618376,User,161,2,98,297
310,625469,User,142,3,42,33
311,628742,User,73,0,8,1
312,635121,User,202,81,156,66
313,635361,User,10,0,15,3
314,639247,User,67,3,16,10
315,644420,User,18,1,532,0
316,646194,User,118,0,13,9
317,649348,User,105,3,94,27
318,656475,User,41,0,23,0
319,667047,User,271,5,226,72
320,667719,User,26,2,5,0
321,679122,User,97,45,283,7
322,683300,User,32,9,73,30
323,683713,User,97,1,68,23
324,683742,User,62,4,13,7
325,686971,User,16,1,2,3
326,698003,User,70,11,507,37
327,700357,User,110,2,47,3
328,700834,User,63,35,734,4
329,702790,User,5,0,13,0
330,702885,User,74,26,46,41
331,712614,User,103,4,19,9
332,712896,User,47,31,381,295
333,715491,User,84,14,2358,7
334,725613,User,93,5,50,11
335,731673,User,85,4,31,1
336,734162,User,6,0,2,1
337,736001,User,138,7,132,32
338,736973,User,28,26,131,4
339,737767,User,86,7,35,5
340,744556,User,68,26,1219,6
341,759372,User,115,4,81,19
342,763605,User,14,9,10,1
343,773529,User,142,25,205,8
344,775050,User,178,2,488,155
345,779047,User,252,1,96,50
346,783988,User,17,4,9,7
347,787655,User,52,0,18,1
348,788092,User,8,1,1,10
349,788266,User,38,4,27,27
350,788783,User,43,9,59,3
351,793869,User,12,6,495,0
352,803976,User,235,2,137,129
353,804385,User,3,1,5,1
354,809335,User,85,19,22,31
355,810438,User,266,78,81339,172
356,811374,User,84,32,176,109
357,811776,User,39,7,30,13
358,812075,User,59,15,121,198
359,812783,User,15,0,36,0
360,813007,User,195,45,267,11
361,816900,User,39,0,101,2
362,817030,User,6,0,5,2
363,820871,User,19,17,61,0
364,828643,User,65,6,331,63
365,831192,User,37,0,168,11
366,837034,User,155,5,153,2
367,838736,User,36,12,912,0
368,841763,User,56,6,107,47
369,841956,User,41,18,421,18
370,852371,User,89,45,97,2
371,855595,User,19,6,64,0
372,856316,User,36,1,193,94
373,857660,User,14,1,20,13
374,859697,User,127,14,0,0
375,859729,User,35,1,35,0
376,863730,User,104,47,1328,14
377,869724,User,22,0,111,0
378,875779,User,13,3,44,10
379,882976,User,326,83,169,0
380,885054,User,424,90,426,75
381,886074,User,270,3,134,81
382,888624,User,164,13,202,51
383,890062,User,121,4,135,283
384,899444,User,245,8,1575,22
385,903617,User,31,5,34,16
386,904474,User,117,10,200,0
387,907223,User,48,1,45,23
388,907672,User,30,1,97,0
389,908371,User,92,1,21,3
390,908479,User,11,0,51,0
391,908958,User,39,3,110,2
392,912735,User,70,23,194,3
393,913004,User,155,6,74,5
394,919084,User,47,3,33,4
395,924948,User,51,3,49,2
396,926513,User,51,9,293,1
397,936315,User,4,1,22,0
398,937328,User,65,13,341,13
399,940341,User,16,0,167,17
400,943991,User,21,11,38,2
401,948037,User,63,1,44,8
402,955351,User,162,300,139,211
403,955396,User,12,0,99,2
404,958268,User,3,0,21,0
405,959590,User,29,3,50,0
406,964386,User,181,30,583,383
407,969721,User,89,18,47,25
408,973741,User,77,2,21,8
409,979241,User,95,18,418,8
410,984252,User,6,0,0,0
411,984817,User,155,20,32,6
412,1007429,User,14,4,19,5
413,1014802,User,56,4,50,6
414,1018684,User,25,1,39,1
415,1022220,User,54,1,15,0
416,1022584,User,13,21,55,0
417,1027207,User,192,19,424,13
418,1030580,User,21,0,12,0
419,1031940,User,96,18,84,0
420,1035262,User,35,0,27,6
421,1036561,User,230,24,330,17
422,1036769,User,5,1,7,0
423,1038121,User,321,67,785,24
424,1056976,User,209,258,258,42
425,1058480,User,19,1,34,4
426,1070090,User,82,4,14,24
427,1070455,User,21,0,29,1
428,1076393,User,51,7,505,14
429,1083045,User,199,22,216,321
430,1097932,User,11,0,91,9
431,1103838,User,58,6,34,27
432,1110944,User,93,0,160,39
433,1120448,User,70,27,92,0
434,1121690,User,122,4,65,1
435,1137607,User,38,2,21,4
436,1146263,User,31,7,52,30
437,1148376,User,446,11,369,0
438,1157043,User,59,5,86,0
439,1158422,User,29,0,23,5
440,1167539,User,27,0,7,5
441,1169991,User,42,1,5,0
442,1175079,User,4,0,2,0
443,1182160,User,4,0,41,0
444,1186214,User,10,0,39,0
445,1190754,User,120,2,79,7
446,1205393,User,70,7,45,20
447,1217863,User,78,22,516,13
448,1221423,User,11,0,325,0
449,1229027,User,74,2,50,59
450,1229869,User,43,0,31,0
451,1234602,User,47,3,2,0
452,1259027,User,68,30,129,4
453,1260124,User,108,5,228,19
454,1266923,User,47,40,193,283
455,1269602,User,8,8,11,1
456,1271364,User,98,34,913,0
457,1272980,User,162,17,75,20
458,1277384,User,3,0,1,0
459,1279263,User,54,5,24,28
460,1281082,User,100,22,449,1
461,1281646,User,29,6,21,6
462,1282736,User,36,0,34,34
463,1283854,User,276,5,148,0
464,1287077,User,39,7,28,10
465,1291671,User,257,228,780,4
466,1293187,User,84,11,421,103
467,1297909,User,681,22,561,862
468,1302569,User,73,37,23,113
469,1305167,User,278,14,137,95
470,1310524,User,28,5,18,6
471,1312662,User,21,9,49,5
472,1315079,User,46,14,127,25
473,1315533,User,198,67,892,32
474,1317309,User,97,59,238,238
475,1322187,User,62,23,83,3
476,1322534,User,70,48,20,5
477,1324157,User,13,4,129,357
478,1341245,User,0,0,61,0
479,1347065,User,13,1,22,0
480,1353258,User,227,35,282,529
481,1360766,User,9,0,19,0
482,1362617,User,22,0,8,0
483,1363683,User,16,0,10,0
484,1364952,User,108,1,70,12
485,1369626,User,20,0,43,1
486,1377188,User,18,2,3,1
487,1379753,User,40,17,30,49
488,1384394,User,379,55781,151,2510
489,1388263,User,66,0,45,3
490,1390682,User,25,0,15,3
491,1394552,User,101,9,106,5
492,1395158,User,64,2,21,55
493,1395797,User,29,0,23,0
494,1396388,User,124,106,335,8
495,1398104,User,125,16,108,5
496,1405026,User,180,27,221,59
497,1417888,User,66,10,44,10
498,1417913,User,38,8,438,0
499,1418734,User,22,4,10,2
500,1421724,User,85,392,261,43
501,1435716,User,13,0,43,0
502,1437785,User,38,4,14,1
503,1438610,User,75,1,22,2
504,1442575,User,108,33,167,42
